6 |2024-04-27 00:15:32.9214 |DEBUG |Data Layer |DataLayer.ExpenseDB.Delete |Deleting Expense to DB
6 |2024-04-27 00:15:32.9214 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGetDelete |Called List on Get By Delete:1 method
9 |2024-04-27 00:15:32.9363 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |Calling List on get method
9 |2024-04-27 00:15:32.9363 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetching Expense From DB
9 |2024-04-27 00:15:32.9363 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetched Record From DB count - 1
9 |2024-04-27 00:15:32.9426 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |List Page on get method completed
6 |2024-04-27 00:16:14.5298 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |Calling List on get method
6 |2024-04-27 00:16:14.5298 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetching Expense From DB
6 |2024-04-27 00:16:14.6917 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetched Record From DB count - 1
6 |2024-04-27 00:16:14.6917 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |List Page on get method completed
6 |2024-04-27 00:16:35.6833 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
6 |2024-04-27 00:16:35.6833 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
6 |2024-04-27 00:16:35.6833 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
6 |2024-04-27 00:16:35.7432 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 1
6 |2024-04-27 00:16:35.7432 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
6 |2024-04-27 00:16:35.7432 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
14 |2024-04-27 00:16:36.9079 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
14 |2024-04-27 00:16:36.9079 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
14 |2024-04-27 00:16:36.9684 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 3
14 |2024-04-27 00:16:36.9684 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
