4 |2024-04-28 15:43:06.6663 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
17 |2024-04-28 15:43:06.9279 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
4 |2024-04-28 15:43:07.0106 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
17 |2024-04-28 15:43:07.0106 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
4 |2024-04-28 15:43:07.4799 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
17 |2024-04-28 15:43:07.4799 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
4 |2024-04-28 15:43:11.1822 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
17 |2024-04-28 15:43:11.1822 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
17 |2024-04-28 15:43:11.1822 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
4 |2024-04-28 15:43:11.1822 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
17 |2024-04-28 15:43:11.1822 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
4 |2024-04-28 15:43:11.1822 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
15 |2024-04-28 15:43:20.2664 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
15 |2024-04-28 15:43:20.4286 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
6 |2024-04-28 15:43:22.9774 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
6 |2024-04-28 15:43:22.9774 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
6 |2024-04-28 15:43:22.9774 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
6 |2024-04-28 15:43:23.1759 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
6 |2024-04-28 15:43:23.1759 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
6 |2024-04-28 15:43:23.1759 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
4 |2024-04-28 15:43:28.8210 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
4 |2024-04-28 15:43:28.8210 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
4 |2024-04-28 15:43:28.9004 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
4 |2024-04-28 15:43:28.9004 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
15 |2024-04-28 15:43:34.7202 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
15 |2024-04-28 15:43:34.7202 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
15 |2024-04-28 15:43:34.8185 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
15 |2024-04-28 15:43:34.8185 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
17 |2024-04-28 15:43:38.9101 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
17 |2024-04-28 15:43:38.9101 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
17 |2024-04-28 15:43:38.9101 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
17 |2024-04-28 15:43:38.9915 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
17 |2024-04-28 15:43:38.9915 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
17 |2024-04-28 15:43:38.9915 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
4 |2024-04-28 15:43:42.3983 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |Calling List on get method
