7 |2024-04-18 14:39:57.3989 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
7 |2024-04-18 14:39:57.5888 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
7 |2024-04-18 14:39:58.0487 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
12 |2024-04-18 14:40:26.7089 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
12 |2024-04-18 14:40:26.7089 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
12 |2024-04-18 14:40:26.7089 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
20 |2024-04-18 14:43:52.1255 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
20 |2024-04-18 14:43:52.1434 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
20 |2024-04-18 14:43:52.1446 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
20 |2024-04-18 14:43:52.2271 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 5
20 |2024-04-18 14:43:52.2271 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
20 |2024-04-18 14:43:52.2271 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
19 |2024-04-18 14:44:04.6556 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
19 |2024-04-18 14:44:04.6556 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
19 |2024-04-18 14:44:04.6556 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
19 |2024-04-18 14:44:04.6556 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 5
19 |2024-04-18 14:44:04.6556 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
19 |2024-04-18 14:44:04.6556 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
21 |2024-04-18 14:44:13.2341 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
21 |2024-04-18 14:44:13.2341 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
21 |2024-04-18 14:44:13.2341 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
21 |2024-04-18 14:44:13.2341 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 5
21 |2024-04-18 14:44:13.2341 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
