12 |2024-04-26 18:15:30.8324 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |List Page on get method completed
7 |2024-04-26 18:15:35.2569 |DEBUG |Service Layer |ServiceLayer.ProjectManager.GetById |Deleting Project to DB
7 |2024-04-26 18:15:35.2569 |DEBUG |Data Layer |DataLayer.ProjectDB.GetById |Fetching Project having {project.Id} in Db
7 |2024-04-26 18:15:35.3298 |DEBUG |Data Layer |DataLayer.ProjectDB.GetById |Fetched Project having {project.Id} in Db
7 |2024-04-26 18:15:35.3298 |DEBUG |Service Layer |ServiceLayer.ProjectManager.GetById |Deleted Project to DB
18 |2024-04-26 18:15:42.8711 |DEBUG |Service Layer |ServiceLayer.ProjectManager.Update |Updating Project to DB
18 |2024-04-26 18:15:42.8711 |DEBUG |Data Layer |DataLayer.ProjectDB.Update |Updating project having {project.Id} in Db
14 |2024-04-26 18:23:21.5184 |DEBUG |Service Layer |ServiceLayer.ProjectManager.Update |Updating Project to DB
14 |2024-04-26 18:23:21.5279 |DEBUG |Data Layer |DataLayer.ProjectDB.Update |Updating project having {project.Id} in Db
14 |2024-04-26 18:23:21.7077 |DEBUG |Data Layer |DataLayer.ProjectDB.Update |Updated project having {project.Id} in Db
12 |2024-04-26 18:23:21.7443 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |Calling List on get method
12 |2024-04-26 18:23:21.7443 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetching Record From DB
12 |2024-04-26 18:23:21.7521 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetched Record From DB count - 2
12 |2024-04-26 18:23:21.7521 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |List Page on get method completed
12 |2024-04-26 18:23:28.7243 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGetDelete |Calling List on Get By Delete:3 method
12 |2024-04-26 18:23:28.7243 |DEBUG |Data Layer |DataLayer.ProjectDB.Delete |Deleting Project having {Project.Id} in Db
12 |2024-04-26 18:23:28.8134 |DEBUG |Data Layer |DataLayer.ProjectDB.Delete |Deleted Project having {Project.Id} in Db
12 |2024-04-26 18:23:28.8134 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGetDelete |Called List on Get By Delete:3 method
12 |2024-04-26 18:23:28.8287 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |Calling List on get method
12 |2024-04-26 18:23:28.8287 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetching Record From DB
12 |2024-04-26 18:23:28.8287 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetched Record From DB count - 1
12 |2024-04-26 18:23:28.8287 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |List Page on get method completed
