4 |2024-04-26 14:32:12.4791 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
9 |2024-04-26 14:32:12.4791 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
4 |2024-04-26 14:32:12.5919 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
9 |2024-04-26 14:32:12.5919 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
9 |2024-04-26 14:32:12.8394 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
4 |2024-04-26 14:32:12.8394 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
9 |2024-04-26 14:32:15.7239 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 1
4 |2024-04-26 14:32:15.7239 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 1
4 |2024-04-26 14:32:15.7239 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
9 |2024-04-26 14:32:15.7239 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
4 |2024-04-26 14:32:15.7239 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
9 |2024-04-26 14:32:15.7239 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
12 |2024-04-26 14:32:32.0626 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |Calling List on get method
12 |2024-04-26 14:32:32.0626 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
12 |2024-04-26 14:32:32.1610 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 1
12 |2024-04-26 14:32:32.1610 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |List Page on get method completed
9 |2024-04-26 14:33:01.3846 |DEBUG |Service Layer |ServiceLayer.CategoryManager.Add |Adding Category
9 |2024-04-26 14:33:01.3846 |DEBUG |Data Layer |DataLayer.CategoryDB.GetByName |Fetching Category to DB by name
9 |2024-04-26 14:33:01.6001 |DEBUG |Data Layer |DataLayer.CategoryDB.GetByName |Fetching Category to DB by Name
9 |2024-04-26 14:33:01.6001 |DEBUG |Data Layer |DataLayer.CategoryDB.Add |Adding {category.Name} in Category Db
9 |2024-04-26 14:33:01.8110 |DEBUG |Data Layer |DataLayer.CategoryDB.Add |Added {category.Name} in Category Db
9 |2024-04-26 14:33:01.8110 |DEBUG |Service Layer |ServiceLayer.CategoryManager.Add |Added Category to DB
6 |2024-04-26 14:33:01.8321 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |Calling List on get method
6 |2024-04-26 14:33:01.8321 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
6 |2024-04-26 14:33:01.8401 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 2
6 |2024-04-26 14:33:01.8401 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |List Page on get method completed
6 |2024-04-26 14:52:25.6468 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |Calling List on get method
6 |2024-04-26 14:52:25.6663 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
6 |2024-04-26 14:52:25.9429 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 2
6 |2024-04-26 14:52:25.9429 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |List Page on get method completed
7 |2024-04-26 14:53:00.1159 |DEBUG |Service Layer |ServiceLayer.CategoryManager.Add |Adding Category
7 |2024-04-26 14:53:00.1159 |DEBUG |Data Layer |DataLayer.CategoryDB.GetByName |Fetching Category to DB by name
7 |2024-04-26 14:53:00.2617 |DEBUG |Data Layer |DataLayer.CategoryDB.GetByName |Fetching Category to DB by Name
7 |2024-04-26 14:53:00.2617 |DEBUG |Data Layer |DataLayer.CategoryDB.Add |Adding {category.Name} in Category Db
7 |2024-04-26 14:53:00.4115 |DEBUG |Data Layer |DataLayer.CategoryDB.Add |Added {category.Name} in Category Db
7 |2024-04-26 14:53:00.4115 |DEBUG |Service Layer |ServiceLayer.CategoryManager.Add |Added Category to DB
7 |2024-04-26 14:53:00.4343 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |Calling List on get method
7 |2024-04-26 14:53:00.4343 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
