20 |2024-04-27 00:33:55.2818 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetByEmail |Fetching employee having {employee.Email} in Db
20 |2024-04-27 00:33:55.2818 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetByEmail |Fetched employee to DB
20 |2024-04-27 00:33:55.2818 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.Add |Added employee from serviec layer
20 |2024-04-27 00:33:55.2818 |DEBUG |Data Layer |DataLayer.EmployeeDB.Add |Adding {employee.Name} in employee Db
20 |2024-04-27 00:33:55.3173 |DEBUG |Data Layer |DataLayer.EmployeeDB.Add |Added {employee.Name} in employee Db
24 |2024-04-27 00:33:55.3173 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
24 |2024-04-27 00:33:55.3173 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
24 |2024-04-27 00:33:55.3173 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
24 |2024-04-27 00:33:55.3291 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
24 |2024-04-27 00:33:55.3291 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
24 |2024-04-27 00:33:55.3291 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
24 |2024-04-27 00:34:00.3197 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
24 |2024-04-27 00:34:00.3197 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
24 |2024-04-27 00:34:00.3197 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
24 |2024-04-27 00:34:00.3519 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
24 |2024-04-27 00:34:00.3519 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
24 |2024-04-27 00:34:00.3519 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
24 |2024-04-27 00:34:01.4575 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
24 |2024-04-27 00:34:01.4575 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
24 |2024-04-27 00:34:01.4808 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 3
24 |2024-04-27 00:34:01.4808 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
25 |2024-04-27 00:34:04.1545 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |Calling List on get method
25 |2024-04-27 00:34:04.1545 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
25 |2024-04-27 00:34:04.1545 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
25 |2024-04-27 00:34:04.1840 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
25 |2024-04-27 00:34:04.1840 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
25 |2024-04-27 00:34:04.1840 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |List Page on get method completed
25 |2024-04-27 00:34:12.3041 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |Calling List on get method
25 |2024-04-27 00:34:12.3041 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
25 |2024-04-27 00:34:12.3391 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 0
25 |2024-04-27 00:34:12.3391 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |List Page on get method completed
27 |2024-04-27 00:34:47.3818 |DEBUG |Service Layer |ServiceLayer.CategoryManager.Add |Adding Category
27 |2024-04-27 00:34:47.3818 |DEBUG |Data Layer |DataLayer.CategoryDB.GetByName |Fetching Category to DB by name
27 |2024-04-27 00:34:47.4306 |DEBUG |Data Layer |DataLayer.CategoryDB.GetByName |Fetching Category to DB by Name
27 |2024-04-27 00:34:47.4306 |DEBUG |Data Layer |DataLayer.CategoryDB.Add |Adding {category.Name} in Category Db
27 |2024-04-27 00:34:47.4774 |DEBUG |Data Layer |DataLayer.CategoryDB.Add |Added {category.Name} in Category Db
27 |2024-04-27 00:34:47.4774 |DEBUG |Service Layer |ServiceLayer.CategoryManager.Add |Added Category to DB
19 |2024-04-27 00:34:47.4774 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |Calling List on get method
19 |2024-04-27 00:34:47.4774 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
19 |2024-04-27 00:34:47.4774 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 1
19 |2024-04-27 00:34:47.4774 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |List Page on get method completed
26 |2024-04-27 00:35:32.1476 |DEBUG |Service Layer |ServiceLayer.CategoryManager.Add |Adding Category
26 |2024-04-27 00:35:32.1476 |DEBUG |Data Layer |DataLayer.CategoryDB.GetByName |Fetching Category to DB by name
26 |2024-04-27 00:35:32.1857 |DEBUG |Data Layer |DataLayer.CategoryDB.GetByName |Fetching Category to DB by Name
26 |2024-04-27 00:35:32.1857 |DEBUG |Data Layer |DataLayer.CategoryDB.Add |Adding {category.Name} in Category Db
26 |2024-04-27 00:35:32.2192 |DEBUG |Data Layer |DataLayer.CategoryDB.Add |Added {category.Name} in Category Db
26 |2024-04-27 00:35:32.2192 |DEBUG |Service Layer |ServiceLayer.CategoryManager.Add |Added Category to DB
24 |2024-04-27 00:35:32.2312 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |Calling List on get method
24 |2024-04-27 00:35:32.2312 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
24 |2024-04-27 00:35:32.2312 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 2
24 |2024-04-27 00:35:32.2312 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |List Page on get method completed
26 |2024-04-27 00:35:54.7220 |DEBUG |Service Layer |ServiceLayer.CategoryManager.Add |Adding Category
26 |2024-04-27 00:35:54.7225 |DEBUG |Data Layer |DataLayer.CategoryDB.GetByName |Fetching Category to DB by name
26 |2024-04-27 00:35:54.7666 |DEBUG |Data Layer |DataLayer.CategoryDB.GetByName |Fetching Category to DB by Name
