4 |2024-04-24 18:30:38.0452 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
4 |2024-04-24 18:30:38.3181 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
4 |2024-04-24 18:30:38.3181 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetById |Fetching employee to DB
4 |2024-04-24 18:30:38.3181 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetById |Fetching employee having {employee.Id} in Db
4 |2024-04-24 18:30:38.3666 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetById |Fetched employee having {employee.Id} in Db
4 |2024-04-24 18:30:38.3666 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetById |Fetched employee to DB
6 |2024-04-24 18:30:45.6274 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
6 |2024-04-24 18:30:45.6274 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
6 |2024-04-24 18:30:45.6274 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
6 |2024-04-24 18:30:45.7839 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 2
6 |2024-04-24 18:30:45.7839 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
6 |2024-04-24 18:30:45.7839 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
18 |2024-04-24 18:30:50.7278 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
18 |2024-04-24 18:30:50.8590 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
4 |2024-04-24 18:30:54.2802 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
4 |2024-04-24 18:30:54.2802 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
4 |2024-04-24 18:30:54.3984 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
4 |2024-04-24 18:30:54.3984 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
18 |2024-04-24 18:31:02.9785 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
18 |2024-04-24 18:31:02.9785 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
18 |2024-04-24 18:31:03.0348 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
18 |2024-04-24 18:31:03.0348 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
12 |2024-04-24 18:31:05.7536 |DEBUG |Service Layer |ServiceLayer.DepartmentManager.GetById |Deleting Department to DB
12 |2024-04-24 18:31:05.7536 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetById |Deleting Department to DB
12 |2024-04-24 18:31:05.8083 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetById |Deleted Department to DB
12 |2024-04-24 18:31:05.8090 |DEBUG |Service Layer |ServiceLayer.DepartmentManager.GetById |Deleted Department to DB
9 |2024-04-24 18:32:40.1523 |DEBUG |Service Layer |ServiceLayer.DepartmentManager.GetById |Deleting Department to DB
9 |2024-04-24 18:32:40.1738 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetById |Deleting Department to DB
9 |2024-04-24 18:32:40.4170 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetById |Deleted Department to DB
9 |2024-04-24 18:32:40.4170 |DEBUG |Service Layer |ServiceLayer.DepartmentManager.GetById |Deleted Department to DB
7 |2024-04-24 18:33:08.0251 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
7 |2024-04-24 18:33:08.0251 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
7 |2024-04-24 18:33:08.0307 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
7 |2024-04-24 18:33:08.1348 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 2
7 |2024-04-24 18:33:08.1348 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
7 |2024-04-24 18:33:08.1348 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
7 |2024-04-24 18:33:13.0567 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
7 |2024-04-24 18:33:13.0567 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
7 |2024-04-24 18:33:13.0567 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
7 |2024-04-24 18:33:13.1943 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 2
7 |2024-04-24 18:33:13.1943 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
7 |2024-04-24 18:33:13.1960 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
18 |2024-04-24 18:33:14.8471 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
18 |2024-04-24 18:33:14.8471 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
18 |2024-04-24 18:33:14.9302 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
18 |2024-04-24 18:33:14.9302 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
18 |2024-04-24 18:33:16.9848 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |Calling List on get method
18 |2024-04-24 18:33:16.9848 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
18 |2024-04-24 18:33:16.9848 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
18 |2024-04-24 18:33:17.0786 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 2
18 |2024-04-24 18:33:17.0786 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
18 |2024-04-24 18:33:17.0786 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |List Page on get method completed
4 |2024-04-24 18:37:44.2924 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |Calling List on get method
4 |2024-04-24 18:37:44.3025 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
4 |2024-04-24 18:37:44.3025 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
4 |2024-04-24 18:37:44.5446 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 2
4 |2024-04-24 18:37:44.5446 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
4 |2024-04-24 18:37:44.5446 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |List Page on get method completed
6 |2024-04-24 18:37:51.7704 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |Calling List on get method
6 |2024-04-24 18:37:51.7704 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
6 |2024-04-24 18:37:51.7704 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
6 |2024-04-24 18:37:51.9297 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 2
6 |2024-04-24 18:37:51.9297 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
6 |2024-04-24 18:37:51.9297 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |List Page on get method completed
6 |2024-04-24 18:38:01.1784 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
6 |2024-04-24 18:38:01.1784 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
6 |2024-04-24 18:38:01.1784 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
6 |2024-04-24 18:38:01.3153 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 2
6 |2024-04-24 18:38:01.3153 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
6 |2024-04-24 18:38:01.3153 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
6 |2024-04-24 18:38:03.4241 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
6 |2024-04-24 18:38:03.4832 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
18 |2024-04-24 18:46:26.4749 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
18 |2024-04-24 18:46:26.5035 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
