22 |2024-04-27 01:31:38.5078 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
22 |2024-04-27 01:31:38.5078 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 2
22 |2024-04-27 01:31:38.5078 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |List Page on get method completed
25 |2024-04-27 01:31:42.5677 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |Calling List on get method
25 |2024-04-27 01:31:42.5677 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetching Record From DB
25 |2024-04-27 01:31:42.6124 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetched Record From DB count - 3
25 |2024-04-27 01:31:42.6124 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |List Page on get method completed
25 |2024-04-27 01:32:23.8142 |DEBUG |Service Layer |ServiceLayer.ProjectManager.Add |Adding Project
25 |2024-04-27 01:32:23.8142 |DEBUG |Data Layer |DataLayer.ProjectDB.GetByName |Getting Project having {Project.Name} in Db
25 |2024-04-27 01:32:23.8718 |DEBUG |Data Layer |DataLayer.ProjectDB.GetByName |Getted Project having {project.Name} in Db
25 |2024-04-27 01:32:23.8718 |DEBUG |Service Layer |ServiceLayer.ProjectManager.Add |Not Added Project to DB
22 |2024-04-27 01:32:30.3822 |DEBUG |Service Layer |ServiceLayer.ProjectManager.Add |Adding Project
22 |2024-04-27 01:32:30.3822 |DEBUG |Data Layer |DataLayer.ProjectDB.GetByName |Getting Project having {Project.Name} in Db
22 |2024-04-27 01:32:30.4359 |DEBUG |Data Layer |DataLayer.ProjectDB.GetByName |Getted Project having {project.Name} in Db
22 |2024-04-27 01:32:30.4359 |DEBUG |Data Layer |DataLayer.ProjectDB.Add |Adding {project.Name} in Project Db
22 |2024-04-27 01:32:30.4857 |DEBUG |Data Layer |DataLayer.ProjectDB.Add |Added {project.Name} in Project Db
22 |2024-04-27 01:32:30.4857 |DEBUG |Service Layer |ServiceLayer.ProjectManager.Add |Added Project to DB
25 |2024-04-27 01:32:30.4951 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |Calling List on get method
25 |2024-04-27 01:32:30.4951 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetching Record From DB
25 |2024-04-27 01:32:30.4951 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetched Record From DB count - 4
25 |2024-04-27 01:32:30.4951 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |List Page on get method completed
3 |2024-04-27 01:32:35.0260 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGetDelete |Calling List on Get By Delete:6 method
3 |2024-04-27 01:32:35.0260 |DEBUG |Data Layer |DataLayer.ProjectDB.Delete |Deleting Project having {Project.Id} in Db
3 |2024-04-27 01:32:35.0964 |DEBUG |Data Layer |DataLayer.ProjectDB.Delete |Deleted Project having {Project.Id} in Db
3 |2024-04-27 01:32:35.0964 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGetDelete |Called List on Get By Delete:6 method
25 |2024-04-27 01:32:35.1082 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |Calling List on get method
25 |2024-04-27 01:32:35.1082 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetching Record From DB
25 |2024-04-27 01:32:35.1082 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetched Record From DB count - 3
25 |2024-04-27 01:32:35.1082 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |List Page on get method completed
3 |2024-04-27 01:32:42.5103 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |Calling List on get method
3 |2024-04-27 01:32:42.5103 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
3 |2024-04-27 01:32:42.5504 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 3
3 |2024-04-27 01:32:42.5504 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
9 |2024-04-27 01:32:48.3613 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
9 |2024-04-27 01:32:48.4030 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
25 |2024-04-27 01:33:06.2375 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |Calling List on get method
25 |2024-04-27 01:33:06.2375 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
25 |2024-04-27 01:33:06.2800 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 3
25 |2024-04-27 01:33:06.2800 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
25 |2024-04-27 01:33:10.8631 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
25 |2024-04-27 01:33:10.9013 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
24 |2024-04-27 01:33:42.3336 |DEBUG |Service Layer |ServiceLayer.ReportManager.Add |Adding Report
24 |2024-04-27 01:33:42.3336 |DEBUG |Data Layer |DataLayer.ReportDB.GetByName |Fetching Report to DB by name
24 |2024-04-27 01:33:42.3983 |DEBUG |Data Layer |DataLayer.ReportDB.GetByName |Fetching Report to DB by Name
24 |2024-04-27 01:33:42.3983 |DEBUG |Data Layer |DataLayer.ReportDB.Add |Adding Report to DB
24 |2024-04-27 01:33:42.4573 |DEBUG |Data Layer |DataLayer.ReportDB.Add |Added Report to DB
24 |2024-04-27 01:33:42.4573 |DEBUG |Service Layer |ServiceLayer.ReportManager.Add |Added Report to DB
24 |2024-04-27 01:33:42.4573 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |Calling List on get method
24 |2024-04-27 01:33:42.4573 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
24 |2024-04-27 01:33:42.4573 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 4
24 |2024-04-27 01:33:42.4573 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
24 |2024-04-27 01:33:49.1326 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
24 |2024-04-27 01:33:49.1885 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
24 |2024-04-27 01:33:49.1885 |DEBUG |Service Layer |ServiceLayer.ReportManager.GetById |Deleting Report to DB
24 |2024-04-27 01:33:49.1885 |DEBUG |Data Layer |DataLayer.ReportDB.GetById |Deleting Report to DB
24 |2024-04-27 01:33:49.2129 |DEBUG |Data Layer |DataLayer.ReportDB.GetById |Deleted Report to DB
24 |2024-04-27 01:33:49.2129 |DEBUG |Service Layer |ServiceLayer.ReportManager.GetById |Deleted Report to DB
24 |2024-04-27 01:33:52.0390 |DEBUG |Service Layer |ServiceLayer.ReportManager.Update |Updating Report to DB
24 |2024-04-27 01:33:52.0390 |DEBUG |Data Layer |DataLayer.ReportDB.Update |Updating Report to DB
19 |2024-04-27 01:33:52.1070 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |Calling List on get method
19 |2024-04-27 01:33:52.1070 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
19 |2024-04-27 01:33:52.1070 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 4
19 |2024-04-27 01:33:52.1070 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
24 |2024-04-27 01:33:55.7102 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGetDelete |Calling List on Get By Delete:8 method
24 |2024-04-27 01:33:55.7102 |DEBUG |Data Layer |DataLayer.ReportDB.Delete |Deleting Report to DB
24 |2024-04-27 01:33:55.7969 |DEBUG |Data Layer |DataLayer.ReportDB.Delete |Deleting Report to DB
24 |2024-04-27 01:33:55.7969 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGetDelete |Called List on Get By Delete:8 method
24 |2024-04-27 01:33:55.8168 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |Calling List on get method
24 |2024-04-27 01:33:55.8168 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
24 |2024-04-27 01:33:55.8289 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 3
24 |2024-04-27 01:33:55.8289 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
12 |2024-04-27 01:34:00.7359 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |Calling List on get method
12 |2024-04-27 01:34:00.7359 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
12 |2024-04-27 01:34:00.7687 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 3
12 |2024-04-27 01:34:00.7687 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
