4 |2024-04-24 18:06:49.7083 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
4 |2024-04-24 18:06:49.9522 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
4 |2024-04-24 18:06:50.3918 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
4 |2024-04-24 18:06:53.9432 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 2
4 |2024-04-24 18:06:53.9442 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
4 |2024-04-24 18:06:53.9442 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
6 |2024-04-24 18:13:19.3280 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
6 |2024-04-24 18:13:19.3926 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
6 |2024-04-24 18:13:19.4163 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
6 |2024-04-24 18:13:20.6429 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 2
6 |2024-04-24 18:13:20.6429 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
6 |2024-04-24 18:13:20.6429 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
4 |2024-04-24 18:13:25.8575 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
4 |2024-04-24 18:13:25.9930 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
23 |2024-04-24 18:13:31.8196 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
23 |2024-04-24 18:13:31.8589 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
23 |2024-04-24 18:13:31.8589 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
23 |2024-04-24 18:13:32.0169 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 2
23 |2024-04-24 18:13:32.0169 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
23 |2024-04-24 18:13:32.0169 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
14 |2024-04-24 18:13:34.5513 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
14 |2024-04-24 18:13:34.6313 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
14 |2024-04-24 18:13:34.6313 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetById |Fetching employee to DB
14 |2024-04-24 18:13:34.6313 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetById |Fetching employee having {employee.Id} in Db
14 |2024-04-24 18:13:34.7440 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetById |Fetched employee having {employee.Id} in Db
14 |2024-04-24 18:13:34.7440 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetById |Fetched employee to DB
4 |2024-04-24 18:13:46.3258 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
4 |2024-04-24 18:13:46.3258 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
