6 |2024-04-18 20:47:21.3394 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
6 |2024-04-18 20:47:21.3988 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
6 |2024-04-18 20:47:21.4305 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
6 |2024-04-18 20:47:22.2687 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 5
6 |2024-04-18 20:47:22.2687 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
6 |2024-04-18 20:47:22.2687 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
10 |2024-04-18 20:47:40.7136 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
10 |2024-04-18 20:47:40.7163 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
10 |2024-04-18 20:47:40.7843 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 2
10 |2024-04-18 20:47:40.7843 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
10 |2024-04-18 20:47:48.2782 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGetDelete |Calling List on Get By Delete:1 method
10 |2024-04-18 20:47:48.3880 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGetDelete |Called List on Get By Delete:1 method
13 |2024-04-18 20:47:48.4066 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
13 |2024-04-18 20:47:48.4066 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
13 |2024-04-18 20:47:48.4066 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 1
13 |2024-04-18 20:47:48.4066 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
23 |2024-04-18 20:48:32.2358 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
23 |2024-04-18 20:48:32.2358 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
23 |2024-04-18 20:48:32.2358 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 2
23 |2024-04-18 20:48:32.2358 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
6 |2024-04-18 20:52:25.8526 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
6 |2024-04-18 20:52:25.9142 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
6 |2024-04-18 20:52:26.2189 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 2
