4 |2024-04-24 19:32:38.6829 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
4 |2024-04-24 19:32:38.7012 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
4 |2024-04-24 19:32:39.0795 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
4 |2024-04-24 19:32:39.0795 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
7 |2024-04-24 19:33:00.5430 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
7 |2024-04-24 19:33:00.5430 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
7 |2024-04-24 19:33:00.5430 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
7 |2024-04-24 19:33:00.7047 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 1
7 |2024-04-24 19:33:00.7047 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
7 |2024-04-24 19:33:00.7047 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
4 |2024-04-24 19:33:02.3457 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
4 |2024-04-24 19:33:02.3457 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
4 |2024-04-24 19:33:02.4784 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
4 |2024-04-24 19:33:02.4784 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
7 |2024-04-24 19:34:41.6212 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
7 |2024-04-24 19:34:41.6401 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
7 |2024-04-24 19:34:41.9909 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
7 |2024-04-24 19:34:41.9909 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
6 |2024-04-24 19:35:05.8633 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
6 |2024-04-24 19:35:05.9266 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
6 |2024-04-24 19:35:06.2310 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
6 |2024-04-24 19:35:06.2314 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
14 |2024-04-24 19:35:15.0587 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
14 |2024-04-24 19:35:15.0604 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
14 |2024-04-24 19:35:15.2148 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
14 |2024-04-24 19:35:15.2148 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
14 |2024-04-24 19:36:16.9380 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
14 |2024-04-24 19:36:16.9576 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
14 |2024-04-24 19:36:17.3115 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
