9 |2024-04-17 23:38:37.6654 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
9 |2024-04-17 23:38:37.7653 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
9 |2024-04-17 23:38:37.8094 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
9 |2024-04-17 23:38:38.4619 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 11
9 |2024-04-17 23:38:38.4619 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
9 |2024-04-17 23:38:38.4619 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
18 |2024-04-17 23:41:08.2769 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.Add |Adding employee from serviec layer
18 |2024-04-17 23:41:08.4519 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.Add |Added employee from serviec layer
14 |2024-04-17 23:41:08.5551 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
14 |2024-04-17 23:41:08.5551 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
14 |2024-04-17 23:41:08.5551 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
14 |2024-04-17 23:41:08.5551 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 12
14 |2024-04-17 23:41:08.5551 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
14 |2024-04-17 23:41:08.5551 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
20 |2024-04-17 23:43:06.3066 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
20 |2024-04-17 23:43:06.3066 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
20 |2024-04-17 23:43:06.3066 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
20 |2024-04-17 23:43:06.4232 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 12
20 |2024-04-17 23:43:06.4232 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
20 |2024-04-17 23:43:06.4232 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
25 |2024-04-17 23:43:08.0917 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
25 |2024-04-17 23:43:08.0917 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
25 |2024-04-17 23:43:08.0917 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
25 |2024-04-17 23:43:08.1773 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 12
25 |2024-04-17 23:43:08.1773 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
25 |2024-04-17 23:43:08.1773 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
7 |2024-04-17 23:43:18.9944 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
7 |2024-04-17 23:43:19.0060 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
7 |2024-04-17 23:43:19.0060 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
7 |2024-04-17 23:43:19.2630 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 12
7 |2024-04-17 23:43:19.2630 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
7 |2024-04-17 23:43:19.2630 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
12 |2024-04-17 23:57:56.2264 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
12 |2024-04-17 23:57:56.3541 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
12 |2024-04-17 23:57:56.3585 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
12 |2024-04-17 23:57:56.6655 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 12
12 |2024-04-17 23:57:56.6655 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
12 |2024-04-17 23:57:56.6655 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
19 |2024-04-17 23:58:30.0490 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
19 |2024-04-17 23:58:30.0490 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
19 |2024-04-17 23:58:30.0490 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
19 |2024-04-17 23:58:30.0490 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 12
19 |2024-04-17 23:58:30.0490 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
19 |2024-04-17 23:58:30.0490 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
20 |2024-04-17 23:58:40.1962 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
20 |2024-04-17 23:58:40.1962 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
20 |2024-04-17 23:58:40.1962 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
20 |2024-04-17 23:58:40.2032 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 12
20 |2024-04-17 23:58:40.2032 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
20 |2024-04-17 23:58:40.2032 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
7 |2024-04-17 23:58:46.9176 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGetDelete |Calling List on Get By Delete:13 method
