9 |2024-04-19 00:20:53.5011 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
9 |2024-04-19 00:20:53.5271 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
9 |2024-04-19 00:20:53.5447 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
9 |2024-04-19 00:20:54.1870 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 5
9 |2024-04-19 00:20:54.1870 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
9 |2024-04-19 00:20:54.1870 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
9 |2024-04-19 00:21:13.5462 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
9 |2024-04-19 00:21:13.5462 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
9 |2024-04-19 00:21:13.6235 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 2
9 |2024-04-19 00:21:13.6235 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
7 |2024-04-19 00:21:25.7970 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
7 |2024-04-19 00:21:25.7970 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
7 |2024-04-19 00:21:25.8537 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 2
7 |2024-04-19 00:21:25.8537 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
9 |2024-04-19 00:21:41.7963 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
9 |2024-04-19 00:21:41.7969 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
9 |2024-04-19 00:21:41.8544 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 2
9 |2024-04-19 00:21:41.8544 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
12 |2024-04-19 00:23:16.4615 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
12 |2024-04-19 00:23:16.4808 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
12 |2024-04-19 00:23:16.7556 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 2
12 |2024-04-19 00:23:16.7556 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
7 |2024-04-19 00:23:39.4013 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
7 |2024-04-19 00:23:39.4013 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
7 |2024-04-19 00:23:39.4013 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 2
7 |2024-04-19 00:23:39.4013 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
7 |2024-04-19 00:26:28.0982 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
7 |2024-04-19 00:26:28.1202 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
7 |2024-04-19 00:26:28.3771 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 2
7 |2024-04-19 00:26:28.3771 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
9 |2024-04-19 00:26:56.1876 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
9 |2024-04-19 00:26:56.1876 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
9 |2024-04-19 00:26:56.1876 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 2
9 |2024-04-19 00:26:56.1876 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
4 |2024-04-19 00:28:21.3524 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
4 |2024-04-19 00:28:21.3524 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
4 |2024-04-19 00:28:21.3677 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
4 |2024-04-19 00:28:21.7112 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 5
4 |2024-04-19 00:28:21.7112 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
4 |2024-04-19 00:28:21.7118 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
7 |2024-04-19 00:28:36.7105 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
7 |2024-04-19 00:28:36.7138 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
7 |2024-04-19 00:28:36.7760 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 2
7 |2024-04-19 00:28:36.7760 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
19 |2024-04-19 00:28:47.1006 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
19 |2024-04-19 00:28:47.1006 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
19 |2024-04-19 00:28:47.1068 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 2
19 |2024-04-19 00:28:47.1068 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
